"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22749",2021,12,"2021_12",1391,"7922065000",1562,559,"card",9398.46,"Howell (O&R)","No Data","0",0,0
"22750",2021,12,"2021_12",1391,"7922065000",1562,559,"card",9398.46,"Howell (O&R)","No Data","0",0,0
"22751",2021,12,"2021_12",402,"6796440023",371,20,"card",7770.38,"Howell (O&R)",">=$50,000","0",0,0
"22752",2021,12,"2021_12",795,"1542093051",763,184,"card",5365.26,"Howell (O&R)",">=$50,000","0",0,0
"22753",2020,6,"2020_6",998,"3948370503",1001,320,"card",1653.93,"Frog Hollow (CHGE)","$0-$49,999","Moving out of service territory",0,1
"22754",2021,12,"2021_12",1091,"2070387005",1116,384,"ach",7585.37,"Howell (O&R)",">=$50,000","0",0,0
"22755",2021,12,"2021_12",1091,"2070387005",1116,384,"card",7585.37,"Howell (O&R)",">=$50,000","0",0,0
"22756",2020,5,"2020_5",1139,"21003918428",1178,424,"ach",5939.12,"Frog Hollow (CHGE)","not in list","0",0,0
"22757",2021,12,"2021_12",600,"7013775004",551,84,"card",4625.23,"Howell (O&R)","not in list","0",0,0
"22758",2021,12,"2021_12",763,"3935211003",721,155,"card",5402.26,"Howell (O&R)",">=$50,000","0",0,0
"22759",2021,12,"2021_12",447,"1464532000",435,47,"ach",12136.6,"Howell (O&R)","not in list","0",0,0
"22760",2021,12,"2021_12",447,"1464532000",435,47,"card",12136.6,"Howell (O&R)","not in list","0",0,0
"22761",2021,12,"2021_12",447,"1464532000",435,47,"ach",12136.6,"Howell (O&R)","not in list","0",0,0
"22762",2021,12,"2021_12",447,"1464532000",435,47,"card",12136.6,"Howell (O&R)","not in list","0",0,0
"22763",2021,12,"2021_12",716,"4505358005",674,125,"card",6290.31,"Howell (O&R)","No Data","0",0,0
"22764",2021,12,"2021_12",606,"3033265005",557,86,"card",15651.8,"Howell (O&R)",">=$50,000","0",0,0
"22765",2020,6,"2020_6",1321,"3330135501",1379,526,"card",15975.5,"Frog Hollow (CHGE)","not in list","0",0,0
"22766",2020,6,"2020_6",1491,"3967733001",1577,565,"card",9509.46,"Howell (O&R)","not in list","0",0,0
"22767",2021,12,"2021_12",758,"6776505014",717,151,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22768",2021,12,"2021_12",758,"6776505014",717,151,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22769",2021,12,"2021_12",758,"6776505014",717,151,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22770",2021,12,"2021_12",732,"3709437019",691,135,"card",5217.25,"Howell (O&R)",">=$50,000","0",0,0
"22771",2021,12,"2021_12",839,"4118914000",820,216,"card",3848.19,"Howell (O&R)",">=$50,000","0",0,0
